"Table_number","Releve_number","Country_code","Biblio_reference","Nr._table_in_publ.","Nr._releve_in_table","Cover_abundance_scale","Year","Month","Day","Project_code","Author_code","Date_year/month/day","Syntaxon_code","Releve_area_m2","UTM_grid_system_code","Altitude_m","Aspect_degrees","Slope_degrees","Cover_total_%","Cover_tree_layer_%","Cover_shrub_layer_%","Cover_herb_layer_%","Cover_moss_layer_%","Cover_lichen_layer_%","Cover_algae_layer_%","Cover_litter_layer_%","Cover_open_water_%","Cover_bare_rock_%","Height_highest_trees_m","Height_lowest_trees_m","Height_highest_shrubs_m","Height_lowest_shrubs_m","Aver._height_high_herbs_cm","Aver._height_lowest_herbs_cm","Maximum_height_herbs_cm","Maximum_height_cryptogams_mm","Mosses_identified_y/n","Lichens_identified_y/n","Remarks","Longitude","Latitude","X_coord","Y_coord","Precision","Locality","Name_ass","Name_all","Vegetation","Tabellenna","Gelaende_n","Herkunft","Bundesland","Spalten_nr","Tabellen_n","Zuordnung","Aufnahmefl","Aufnahmenu","Number_of_species","Project","PlotObsStartDate"
"1","1","DE","3000","","2","2","1988","7","1","","","19880701","","15","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","10.23044","54.13281","0","0","10","","Schoenoplecto-Phragmitetum australis","Phragmition australis","","KBoSe phrag3","468","","","","","","","","2","Schleswig_Holstein","1988-7-1"
"2","2","DE","3000","","12","2","1988","7","1","","","19880701","","25","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","10.22638","54.09841","0","0","10","","Ranunculo-Alopecuretum","Agropyro-Rumicion","","KBoSe agrum2","383","","","","","","","","17","Schleswig_Holstein","1988-7-1"
"3","3","DE","3000","","29","2","1989","6","1","","","19890601","","9","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","10.22763","54.09939","0","0","10","","Carex rostrata-Gesellschaft","Calthion","","KBoSe calth2","883A","","","","","","","","30","Schleswig_Holstein","1989-6-1"
"4","4","DE","3000","","12","2","1990","6","1","","","19900601","","36","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","10.2331","54.07461","0","0","10","","Carici elongatae-Alnetum","Alnion glutinosae","","KBoSe alnion4","80","","","","","","","","24","Schleswig_Holstein","1990-6-1"
"5","5","DE","123","dat_sa","134","0","1987","1","1","","","19870101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","9.855","54.24198","0","0","1065","Vollstedter See","","","","","","Niedermoore_SH","","9","7","Caricetum pan","","","29","Schleswig_Holstein","1987-1-1"
"6","6","DE","","dat_sa","111","0","1990","1","1","","","19900101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","9.65989","54.81019","0","0","580","Langballiger Autal","","","","","","Niedermoore_SH","","9","83","Epilobium hir","","","7","Schleswig_Holstein","1990-1-1"
"7","7","DE","","dat_sa","79","0","1983","1","1","","","19830101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","5000","Kreis Steinburg","","","","","","Niedermoore_SH","","192","","Caricetum acu","","","32","Schleswig_Holstein","1983-1-1"
"8","8","DE","","dat_sa","4","0","1995","1","1","","","19950101","","10","","","","","0","0","0","95","50","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","10.33656","54.20867","0","0","1031","Lehmkuhlener Stauung","","","","","","Niedermoore_SH","","4","9","Schoenoplecto","15","43","34","Schleswig_Holstein","1995-1-1"
"9","9","DE","","dat_sa","4","0","1997","1","1","","","19970101","","10","","","","","97","0","0","97","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","9.47467","54.30512","0","0","1100","Hohner See","","","","","","Niedermoore_SH","","4","2","Schoenoplecto","15","284","10","Schleswig_Holstein","1997-1-1"
"10","10","DE","","dat_sa","110","0","1998","1","1","","","19980101","","10","","","","","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","9.24766","54.35299","0","0","1789","Ostermoor","","","","","","Niedermoore_SH","","120","Molinio-Arrhenatheretea","","25","135","20","Schleswig_Holstein","1998-1-1"
"11","11","DE","","dat_sa","9","0","1998","1","1","","","19980101","","10","","","","","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","9.24766","54.35299","0","0","1789","Ostermoor","","","","","","Niedermoore_SH","","9","","Schoenoplecto","25","67","10","Schleswig_Holstein","1998-1-1"
"12","12","DE","","dat_sa","12","0","1998","1","1","","","19980101","","10","","","","","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","9.24766","54.35299","0","0","1789","Ostermoor","","","","","","Niedermoore_SH","","12","","Schoenoplecto","16","55","14","Schleswig_Holstein","1998-1-1"
"13","13","DE","","dat_sa","55","0","1998","1","1","","","19980101","","10","","","","","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","9.24766","54.35299","0","0","1789","Ostermoor","","","","","","Niedermoore_SH","","55","","Calamagrostis","25","220","19","Schleswig_Holstein","1998-1-1"
"14","14","DE","","dat_sa","38","0","1983","1","1","","","19830101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","5000","Steinburg","","","","","","Niedermoore_SH","","382","","Caricetum gra","","","19","Schleswig_Holstein","1983-1-1"
"15","15","DE","3000","dat_sa","25","0","1993","1","1","","","19930101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","5000","","","","","","","Niedermoore_SH","SH","","","Scirpus sylva","","25","24","Schleswig_Holstein","1993-1-1"
"16","16","DE","3000","dat_sa","15","0","1993","1","1","","","19930101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","5000","","","","","","","Niedermoore_SH","SH","","","Ranunculo-Alo","","17","8","Schleswig_Holstein","1993-1-1"
"17","17","DE","3000","dat_sa","61","0","1993","1","1","","","19930101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","5000","","","","","","","Niedermoore_SH","SH","","","Ranunculo-Alo","","32","22","Schleswig_Holstein","1993-1-1"
"18","18","DE","3000","dat_sa","121","0","1993","1","1","","","19930101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","5000","","","","","","","Niedermoore_SH","SH","","","Ranunculo-Alo","","7","18","Schleswig_Holstein","1993-1-1"
"19","19","DE","3000","dat_sa","29","0","1993","1","1","","","19930101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","5000","","","","","","","Niedermoore_SH","SH","","","Caricetum nig","","1","15","Schleswig_Holstein","1993-1-1"
"20","20","DE","3000","dat_sa","30","0","1993","1","1","","","19930101","","10","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","5000","","","","","","","Niedermoore_SH","SH","","","Caricetum nig","","2","16","Schleswig_Holstein","1993-1-1"
